periodo,variable,tipo_variable,metrica,valor,p_valor,n_referencia,n_actual
2025-02,capital_prestado,numerica,KS,0.024777842712695675,0.6814985705361541,3319,1094
2025-02,capital_prestado,numerica,PSI,0.010810929761773705,,3319,1094
2025-02,capital_prestado,numerica,Jensen-Shannon,0.06844323550631738,,3319,1094
2025-02,plazo_meses,numerica,KS,0.1528480142859267,3.046947192966932e-17,3319,1094
2025-02,plazo_meses,numerica,PSI,0.07788093561189768,,3319,1094
2025-02,plazo_meses,numerica,Jensen-Shannon,0.11842164107099118,,3319,1094
2025-02,edad_cliente,numerica,KS,0.029712590464408273,0.4512432177818317,3319,1094
2025-02,edad_cliente,numerica,PSI,0.00866579198046849,,3319,1094
2025-02,edad_cliente,numerica,Jensen-Shannon,0.05452198631491682,,3319,1094
2025-02,salario_cliente,numerica,KS,0.048200956985237575,0.04199949740325872,3319,1094
2025-02,salario_cliente,numerica,PSI,0.01809181863959429,,3319,1094
2025-02,salario_cliente,numerica,Jensen-Shannon,0.06611247481905388,,3319,1094
2025-02,total_otros_prestamos,numerica,KS,0.07497660415104879,0.00017946084973255645,3319,1094
2025-02,total_otros_prestamos,numerica,PSI,0.0322613880930083,,3319,1094
2025-02,total_otros_prestamos,numerica,Jensen-Shannon,0.10176810384295383,,3319,1094
2025-02,cuota_pactada,numerica,KS,0.058622093282651,0.006658695096229638,3319,1094
2025-02,cuota_pactada,numerica,PSI,0.018991831535466706,,3319,1094
2025-02,cuota_pactada,numerica,Jensen-Shannon,0.09162800454024418,,3319,1094
2025-02,puntaje_datacredito,numerica,KS,0.039106810930742725,0.15662567151881707,3319,1094
2025-02,puntaje_datacredito,numerica,PSI,0.00852461568487361,,3319,1094
2025-02,puntaje_datacredito,numerica,Jensen-Shannon,0.06190655310314967,,3319,1094
2025-02,cant_creditosvigentes,numerica,KS,0.018432458841758148,0.9364294466780396,3319,1094
2025-02,cant_creditosvigentes,numerica,PSI,0.013327153178192119,,3319,1094
2025-02,cant_creditosvigentes,numerica,Jensen-Shannon,0.056861224816710555,,3319,1094
2025-02,huella_consulta,numerica,KS,0.029788878282648285,0.44796718156569687,3319,1094
2025-02,huella_consulta,numerica,PSI,0.008080421750888404,,3319,1094
